0,593,672,838,835,942,914,966,944,991,973,931,1311,1059,1340,1124,1310,1457,1496,1533,1838,1904,2119,2219
593,0,79,245,242,349,321,373,351,398,380,259,718,466,747,531,717,864,903,940,1245,1311,1526,1626
672,79,0,259,163,270,242,308,272,319,301,180,639,387,668,452,638,785,824,861,1166,1232,1447,1547
838,245,259,0,96,192,117,128,147,194,176,421,561,309,543,327,513,660,699,736,1041,1107,1322,1422
835,242,163,96,0,107,79,145,109,156,138,336,476,224,505,289,475,622,661,698,1003,1069,1284,1384
942,349,270,192,107,0,75,141,105,96,133,229,369,117,398,284,368,515,554,591,896,962,1177,1277
914,321,242,117,79,75,0,66,30,77,59,304,444,192,426,210,396,543,582,619,924,990,1205,1305
966,373,308,128,145,141,66,0,39,86,68,370,510,258,435,219,405,552,591,628,933,999,1214,1314
944,351,272,147,109,105,30,39,0,47,29,334,474,222,396,180,366,513,552,589,894,960,1175,1275
991,398,319,194,156,96,77,86,47,0,37,325,465,251,404,188,374,521,560,597,902,968,1183,1283
973,380,301,176,138,133,59,68,29,37,0,362,502,250,367,151,337,484,523,560,865,931,1146,1246
931,259,180,421,336,229,304,370,334,325,362,0,463,211,492,513,462,609,648,685,990,1056,1271,1371
1311,718,639,561,476,369,444,510,474,465,502,463,0,252,342,558,372,225,264,301,606,672,887,987
1059,466,387,309,224,117,192,258,222,251,250,211,252,0,281,401,251,398,437,474,779,845,1060,1160
1340,747,668,543,505,398,426,435,396,404,367,492,342,281,0,216,30,117,156,193,498,564,779,879
1124,531,452,327,289,284,210,219,180,188,151,513,558,401,216,0,186,333,372,409,714,780,995,1095
1310,717,638,513,475,368,396,405,366,374,337,462,372,251,30,186,0,147,208,223,528,594,809,909
1457,864,785,660,622,515,543,552,513,521,484,609,225,398,117,333,147,0,39,77,381,447,662,762
1496,903,824,699,661,554,582,591,552,560,523,648,264,437,156,372,208,39,0,37,342,411,623,723
1533,940,861,736,698,591,619,628,589,597,560,685,301,474,193,409,223,77,37,0,305,371,586,686
1838,1245,1166,1041,1003,896,924,933,894,902,865,990,606,779,498,714,528,381,342,305,0,66,281,381
1904,1311,1232,1107,1069,962,990,999,960,968,931,1056,672,845,564,780,594,447,411,371,66,0,365,315
2119,1526,1447,1322,1284,1177,1205,1214,1175,1183,1146,1271,887,1060,779,995,809,662,623,586,281,365,0,118
2219,1626,1547,1422,1384,1277,1305,1314,1275,1283,1246,1371,987,1160,879,1095,909,762,723,686,381,315,118,0
